benchmark,memory,pf_level,parameter_family,parameter_name,rank,config,simSeconds,baseline_simSeconds,speedup,pfIssued,pfUseful,pfUnused,accuracy,coverage,pfLate,pfTimely,run_name
matmult,ddr4_1x,l1d,amt,access_map_table_entries,2,amt32,0.001251,0.001268,1.0135891286970424,10287.0,67.0,1679.0,0.006513,6.2e-05,7467.0,2820.0,matmult_ampm_amt32_l1d_ddr4_1x
matmult,ddr4_1x,l1d,assoc,access_map_table_assoc,1,assoc2,0.001302,0.001268,0.9738863287250384,167514.0,8538.0,42286.0,0.050969,0.007921,116101.0,51413.0,matmult_ampm_assoc2_l1d_ddr4_1x
matmult,ddr4_1x,l1d,assoc,access_map_table_assoc,2,assoc1,0.001307,0.001268,0.9701606732976282,177008.0,8552.0,44025.0,0.048314,0.007934,123854.0,53154.0,matmult_ampm_assoc1_l1d_ddr4_1x
matmult,ddr4_1x,l1d,default,default,1,default,0.00131,0.001268,0.96793893129771,180686.0,8736.0,46122.0,0.048349,0.008113,125242.0,55444.0,matmult_ampm_default_l1d_ddr4_1x
matmult,ddr4_1x,l1d,epoch,epoch_cycles,1,epoch64k,0.001308,0.001268,0.9694189602446484,161523.0,8003.0,40449.0,0.049547,0.00743,112363.0,49160.0,matmult_ampm_epoch64k_l1d_ddr4_1x
matmult,ddr4_1x,l1d,epoch,epoch_cycles,2,epoch128k,0.001309,0.001268,0.9686783804430863,165162.0,8616.0,40208.0,0.052167,0.008002,115669.0,49493.0,matmult_ampm_epoch128k_l1d_ddr4_1x
matmult,ddr4_1x,l1d,hz,hot_zone_size,1,hz1k,0.001247,0.001268,1.0168404170008019,7721.0,9.0,1858.0,0.001166,8e-06,5051.0,2670.0,matmult_ampm_hz1k_l1d_ddr4_1x
matmult,ddr4_1x,l1d,hz,hot_zone_size,2,hz256,0.001251,0.001268,1.0135891286970424,8495.0,66.0,1434.0,0.007769,6.1e-05,5704.0,2791.0,matmult_ampm_hz256_l1d_ddr4_1x
matmult,ddr4_1x,l1d,ls,limit_stride,1,ls16,0.001264,0.001268,1.0031645569620253,117737.0,7040.0,22617.0,0.059794,0.006581,81771.0,35966.0,matmult_ampm_ls16_l1d_ddr4_1x
matmult,ddr4_1x,l1d,ls,limit_stride,2,ls2,0.001301,0.001268,0.9746348962336664,98562.0,13701.0,55912.0,0.139009,0.01273,28356.0,70206.0,matmult_ampm_ls2_l1d_ddr4_1x
matmult,ddr4_1x,l1d,sd,start_degree,1,sd1,0.001298,0.001268,0.9768875192604007,160448.0,8160.0,42209.0,0.050858,0.007579,109397.0,51051.0,matmult_ampm_sd1_l1d_ddr4_1x
matmult,ddr4_1x,l1d,sd,start_degree,2,sd2,0.001306,0.001268,0.9709035222052067,177397.0,8291.0,44996.0,0.046737,0.007699,123470.0,53927.0,matmult_ampm_sd2_l1d_ddr4_1x
matmult,ddr4_1x,l2,amt,access_map_table_entries,1,amt256,0.001178,0.001268,1.0764006791171477,27289.0,4238.0,42.0,0.155301,0.89447,22607.0,4682.0,matmult_ampm_amt256_l2_ddr4_1x
