run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
bfs_stride_deg32_dist4_l2_ddr4_1x,bfs,stride,deg32_dist4,l2,ddr4_1x,0.023915,23915399994.0,30729211.0,71818018.0,0.427877,6716854.0,11454266.0,1337979.0,3528815.0,nan,nan,nan,5409616.0,219027.0,352661.0
bfs_stride_deg32_dist4_l2_ddr4_2x,bfs,stride,deg32_dist4,l2,ddr4_2x,0.020618,20618236791.0,30729211.0,61916627.0,0.4963,6670964.0,11379046.0,1329318.0,3528990.0,nan,nan,nan,5503245.0,227455.0,351027.0
bfs_stride_deg32_dist8_l1d_ddr4_1x,bfs,stride,deg32_dist8,l1d,ddr4_1x,0.023529,23529454326.0,30729211.0,70659022.0,0.434895,5867129.0,11436729.0,1830398.0,4291521.0,5099478.0,244093.0,681883.0,nan,nan,nan
bfs_stride_deg32_dist8_l1d_ddr4_2x,bfs,stride,deg32_dist8,l1d,ddr4_2x,0.020562,20561822595.0,30729211.0,61747215.0,0.497662,5778976.0,11351681.0,1829609.0,4295025.0,5220033.0,250626.0,685252.0,nan,nan,nan
bfs_stride_deg32_dist8_l2_ddr4_1x,bfs,stride,deg32_dist8,l2,ddr4_1x,0.024492,24492182634.0,30729211.0,73550098.0,0.4178,6834830.0,11458538.0,1350547.0,3528348.0,nan,nan,nan,4923140.0,201508.0,334348.0
bfs_stride_deg32_dist8_l2_ddr4_2x,bfs,stride,deg32_dist8,l2,ddr4_2x,0.021185,21184670124.0,30729211.0,63617628.0,0.48303,6782506.0,11380897.0,1346385.0,3528823.0,nan,nan,nan,5038095.0,206381.0,335580.0
bfs_stride_deg4_dist16_l1d_ddr4_1x,bfs,stride,deg4_dist16,l1d,ddr4_1x,0.023841,23841272862.0,30729211.0,71595414.0,0.429207,6342851.0,11440890.0,1600186.0,3788141.0,1062438.0,190424.0,229408.0,nan,nan,nan
bfs_stride_deg4_dist16_l1d_ddr4_2x,bfs,stride,deg4_dist16,l1d,ddr4_2x,0.021443,21443137065.0,30729211.0,64393805.0,0.477208,6227590.0,11360664.0,1593497.0,3782929.0,1072918.0,194608.0,224690.0,nan,nan,nan
bfs_stride_deg4_dist16_l2_ddr4_1x,bfs,stride,deg4_dist16,l2,ddr4_1x,0.024448,24448032828.0,30729211.0,73417516.0,0.418555,7101088.0,11463732.0,1352602.0,3528759.0,nan,nan,nan,812088.0,145912.0,104348.0
bfs_stride_deg4_dist16_l2_ddr4_2x,bfs,stride,deg4_dist16,l2,ddr4_2x,0.021957,21957247773.0,30729211.0,65937681.0,0.466035,7010970.0,11383200.0,1350087.0,3528805.0,nan,nan,nan,817043.0,148595.0,104913.0
bfs_stride_deg4_dist1_l1d_ddr4_1x,bfs,stride,deg4_dist1,l1d,ddr4_1x,0.021081,21081084480.0,30729211.0,63306560.0,0.485404,5210553.0,11432525.0,1582697.0,3734854.0,1521371.0,244285.0,182621.0,nan,nan,nan
bfs_stride_deg4_dist1_l1d_ddr4_2x,bfs,stride,deg4_dist1,l1d,ddr4_2x,0.01887,18870143301.0,30729211.0,56667097.0,0.542277,5100075.0,11350484.0,1586546.0,3732225.0,1579373.0,248907.0,185911.0,nan,nan,nan
bfs_stride_deg4_dist1_l2_ddr4_1x,bfs,stride,deg4_dist1,l2,ddr4_1x,0.021771,21770647560.0,30729211.0,65377320.0,0.470029,6712911.0,11434785.0,1283933.0,3529415.0,nan,nan,nan,1122619.0,210549.0,97067.0
bfs_stride_deg4_dist1_l2_ddr4_2x,bfs,stride,deg4_dist1,l2,ddr4_2x,0.019448,19448060472.0,30729211.0,58402584.0,0.526162,6633270.0,11358615.0,1281258.0,3529529.0,nan,nan,nan,1120909.0,213029.0,95813.0
bfs_stride_deg4_dist32_l1d_ddr4_1x,bfs,stride,deg4_dist32,l1d,ddr4_1x,0.025255,25254866520.0,30729211.0,75840440.0,0.405183,7034946.0,11443147.0,1554508.0,3735756.0,699402.0,109154.0,186496.0,nan,nan,nan
bfs_stride_deg4_dist32_l1d_ddr4_2x,bfs,stride,deg4_dist32,l1d,ddr4_2x,0.022827,22826629521.0,30729211.0,68548437.0,0.448285,6914539.0,11366464.0,1554266.0,3735508.0,715537.0,109890.0,186217.0,nan,nan,nan
bfs_stride_deg4_dist32_l2_ddr4_1x,bfs,stride,deg4_dist32,l2,ddr4_1x,0.025748,25747973586.0,30729211.0,77321242.0,0.397423,7353514.0,11459866.0,1384444.0,3528684.0,nan,nan,nan,535156.0,102161.0,67798.0
bfs_stride_deg4_dist32_l2_ddr4_2x,bfs,stride,deg4_dist32,l2,ddr4_2x,0.023209,23208856578.0,30729211.0,69696266.0,0.440902,7236430.0,11385361.0,1384627.0,3528815.0,nan,nan,nan,539557.0,102327.0,69185.0
bfs_stride_deg4_dist4_l1d_ddr4_1x,bfs,stride,deg4_dist4,l1d,ddr4_1x,0.022242,22242256479.0,30729211.0,66793563.0,0.460063,5567108.0,11443095.0,1608516.0,3762115.0,1380982.0,232898.0,204836.0,nan,nan,nan
bfs_stride_deg4_dist4_l1d_ddr4_2x,bfs,stride,deg4_dist4,l1d,ddr4_2x,0.019958,19957538484.0,30729211.0,59932548.0,0.512731,5444735.0,11358599.0,1601512.0,3749085.0,1394885.0,236701.0,199211.0,nan,nan,nan
bfs_stride_deg4_dist4_l2_ddr4_1x,bfs,stride,deg4_dist4,l2,ddr4_1x,0.022896,22896113301.0,30729211.0,68757097.0,0.446925,6817977.0,11452413.0,1318101.0,3529056.0,nan,nan,nan,1011015.0,181944.0,113220.0
bfs_stride_deg4_dist4_l2_ddr4_2x,bfs,stride,deg4_dist4,l2,ddr4_2x,0.02057,20570333742.0,30729211.0,61772774.0,0.497456,6750437.0,11374251.0,1313329.0,3522695.0,nan,nan,nan,1022661.0,186052.0,111376.0
bfs_stride_deg4_dist8_l1d_ddr4_1x,bfs,stride,deg4_dist8,l1d,ddr4_1x,0.022923,22923113607.0,30729211.0,68838179.0,0.446398,5806322.0,11444947.0,1616154.0,3774020.0,1254876.0,229997.0,214222.0,nan,nan,nan
bfs_stride_deg4_dist8_l1d_ddr4_2x,bfs,stride,deg4_dist8,l1d,ddr4_2x,0.020587,20586746646.0,30729211.0,61822062.0,0.49706,5675625.0,11359965.0,1615406.0,3774183.0,1283921.0,236701.0,214131.0,nan,nan,nan
bfs_stride_deg4_dist8_l2_ddr4_1x,bfs,stride,deg4_dist8,l2,ddr4_1x,0.023637,23637302703.0,30729211.0,70982891.0,0.432911,6943678.0,11458774.0,1335793.0,3528854.0,nan,nan,nan,934550.0,165962.0,116365.0
bfs_stride_deg4_dist8_l2_ddr4_2x,bfs,stride,deg4_dist8,l2,ddr4_2x,0.021186,21185922870.0,30729211.0,63621390.0,0.483002,6872713.0,11382074.0,1331971.0,3529040.0,nan,nan,nan,937661.0,169342.0,114151.0
bfs_stride_deg8_dist16_l1d_ddr4_1x,bfs,stride,deg8_dist16,l1d,ddr4_1x,0.02386,23860073709.0,30729211.0,71651873.0,0.428869,6396653.0,11440434.0,1642057.0,3875676.0,1854171.0,188340.0,315466.0,nan,nan,nan
bfs_stride_deg8_dist16_l1d_ddr4_2x,bfs,stride,deg8_dist16,l1d,ddr4_2x,0.021383,21382870392.0,30729211.0,64212824.0,0.478553,6295482.0,11358928.0,1638089.0,3880737.0,1880752.0,193456.0,313530.0,nan,nan,nan
bfs_stride_deg8_dist16_l2_ddr4_1x,bfs,stride,deg8_dist16,l2,ddr4_1x,0.024632,24632170506.0,30729211.0,73970482.0,0.415426,7066375.0,11455405.0,1355508.0,3522361.0,nan,nan,nan,1520659.0,154632.0,148564.0
bfs_stride_deg8_dist16_l2_ddr4_2x,bfs,stride,deg8_dist16,l2,ddr4_2x,0.021957,21957354000.0,30729211.0,65938000.0,0.466032,6987981.0,11381121.0,1351751.0,3528896.0,nan,nan,nan,1541507.0,157885.0,145293.0
