run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
matmult_imp3_s64_dist8_addr16_l1d_ddr4_1x,matmult,imp,stage3,s64_dist8_addr16,l1d,ddr4_1x,0.001207,1206685440.0,7397871.0,3623680.0,2.041538,1149126.0,2138238.0,5492.0,1082270.0,24225.0,3014.0,4710.0,nan,nan,nan
matmult_imp3_s64_dist8_addr16_l2_ddr4_2x,matmult,imp,stage3,s64_dist8_addr16,l2,ddr4_2x,0.001236,1236110652.0,7397871.0,3712044.0,1.99294,1158899.0,2138288.0,2834.0,1077439.0,nan,nan,nan,45921.0,2559.0,20.0
matmult_imp3_s64_ipd16_addr16_l2_ddr4_1x,matmult,imp,stage3,s64_ipd16_addr16,l2,ddr4_1x,0.001241,1240896195.0,7397876.0,3726415.0,1.985255,1158773.0,2138946.0,2845.0,1077779.0,nan,nan,nan,45461.0,2559.0,23.0
matmult_imp3_s64_ipd16_addr16_l2_ddr4_2x,matmult,imp,stage3,s64_ipd16_addr16,l2,ddr4_2x,0.001236,1236110652.0,7397871.0,3712044.0,1.99294,1158899.0,2138288.0,2834.0,1077439.0,nan,nan,nan,45921.0,2559.0,20.0
matmult_imp3_s64_ipd16_pt32_l2_ddr4_1x,matmult,imp,stage3,s64_ipd16_pt32,l2,ddr4_1x,0.001241,1240896195.0,7397876.0,3726415.0,1.985255,1158773.0,2138946.0,2845.0,1077779.0,nan,nan,nan,45461.0,2559.0,23.0
matmult_imp3_s64_ipd8_addr8_l2_ddr4_1x,matmult,imp,stage3,s64_ipd8_addr8,l2,ddr4_1x,0.001241,1240896195.0,7397876.0,3726415.0,1.985255,1158773.0,2138946.0,2845.0,1077779.0,nan,nan,nan,45461.0,2559.0,23.0
matmult_imp3_s64_l1d_ddr4_1x,matmult,imp,stage3,s64,l1d,ddr4_1x,0.001207,1206685440.0,7397871.0,3623680.0,2.041538,1149126.0,2138238.0,5492.0,1082270.0,24225.0,3014.0,4710.0,nan,nan,nan
matmult_imp3_s64_l2_ddr4_2x,matmult,imp,stage3,s64,l2,ddr4_2x,0.001236,1236110652.0,7397871.0,3712044.0,1.99294,1158899.0,2138288.0,2834.0,1077439.0,nan,nan,nan,45921.0,2559.0,20.0
matmult_imp3_s64_sth2_dist32_ipd16_addr16_l1d_ddr4_2x,matmult,imp,stage3,s64_sth2_dist32_ipd16_addr16,l1d,ddr4_2x,0.001218,1218429684.0,7397876.0,3658948.0,2.021861,1150918.0,2140135.0,5413.0,1081955.0,21277.0,2954.0,3470.0,nan,nan,nan
matmult_imp3_s64_sth2_pt8_l1d_ddr4_2x,matmult,imp,stage3,s64_sth2_pt8,l1d,ddr4_2x,0.001218,1218429684.0,7397876.0,3658948.0,2.021861,1150918.0,2140135.0,5413.0,1081955.0,21277.0,2954.0,3470.0,nan,nan,nan
matmult_imp3_s64_sth2_pt8_l2_ddr4_1x,matmult,imp,stage3,s64_sth2_pt8,l2,ddr4_1x,0.001243,1243055367.0,7397876.0,3732899.0,1.981807,1160363.0,2139903.0,2994.0,1078546.0,nan,nan,nan,51618.0,2394.0,17.0
merge_imp3_s32_dist8_addr16_l1d_ddr4_1x,merge,imp,stage3,s32_dist8_addr16,l1d,ddr4_1x,0.009971,9971294724.0,37918829.0,29943828.0,1.266333,779785.0,10964064.0,73925.0,214938.0,210212.0,76526.0,7272.0,nan,nan,nan
merge_imp3_s32_dist8_addr16_l2_ddr4_2x,merge,imp,stage3,s32_dist8_addr16,l2,ddr4_2x,0.010051,10050759513.0,37919508.0,30182461.0,1.256344,848023.0,11105968.0,13428.0,201366.0,nan,nan,nan,91714.0,58643.0,357.0
merge_imp3_s32_ipd16_addr16_l1d_ddr4_1x,merge,imp,stage3,s32_ipd16_addr16,l1d,ddr4_1x,0.009971,9971294724.0,37918829.0,29943828.0,1.266333,779785.0,10964064.0,73925.0,214938.0,210212.0,76526.0,7272.0,nan,nan,nan
