run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,stage2_best_config,stage2_best_simSeconds,stage2_best_speedup_vs_nopf,speedup_vs_stage2_best,improvement_over_stage2_best_pct
bfs_imp3_s64_sth2_l1d_ddr4_1x,bfs,imp,stage3,s64_sth2,l1d,ddr4_1x,0.023093,23092920630.0,30729211.0,69348110.0,0.443116,5322826.0,11456684.0,2718362.0,6658368.0,6347669.0,465404.0,2915943.0,,,,0.02764,1.1968994933529642,6347669.0,465404.0,2915943.0,0.07331888288441,0.4593722514516746,0.4646044178228185,0.4082625051664312,s16_sth8,0.022635,1.2211177380163465,0.980167150218681,-1.983284978131905
bfs_imp3_s64_sth2_l1d_ddr4_2x,bfs,imp,stage3,s64_sth2,l1d,ddr4_2x,0.019647,19647393606.0,30729211.0,59001182.0,0.520824,5210884.0,11372144.0,2765231.0,6773010.0,6642435.0,481021.0,3028012.0,,,,0.025176,1.2814170102305695,6642435.0,481021.0,3028012.0,0.07241636538407978,0.45585873252805637,0.4582147394545831,0.40827209763458194,s16_pt8_sth8,0.019608,1.2839657282741739,0.998014964116659,-0.19850358833409798
bfs_imp3_s64_sth2_pt8_l1d_ddr4_1x,bfs,imp,stage3,s64_sth2_pt8,l1d,ddr4_1x,0.023083,23082834726.0,30729211.0,69317822.0,0.443309,5323217.0,11459117.0,2717754.0,6660706.0,6349986.0,465762.0,2918097.0,,,,0.02764,1.1974180132565093,6349986.0,465762.0,2918097.0,0.07334850816993928,0.4595438478132078,0.464539894304247,0.40802791776127034,s16_sth8,0.022635,1.2211177380163465,0.980591777498592,-1.9408222501407946
bfs_imp3_s64_sth2_pt8_l1d_ddr4_2x,bfs,imp,stage3,s64_sth2_pt8,l1d,ddr4_2x,0.019642,19641823848.0,30729211.0,58984456.0,0.520972,5209520.0,11374718.0,2768633.0,6766812.0,6624785.0,481065.0,3021741.0,,,,0.025176,1.2817432033397822,6624785.0,481065.0,3021741.0,0.07261594149847882,0.45612665165737454,0.457991134373617,0.40914879857752806,s16_pt8_sth8,0.019608,1.2839657282741739,0.9982690153752164,-0.17309846247836047
bfs_imp3_s64_sth2_pt8_l2_ddr4_2x,bfs,imp,stage3,s64_sth2_pt8,l2,ddr4_2x,0.023173,23173206930.0,30729211.0,69589210.0,0.441581,6935201.0,11410363.0,1420615.0,3529166.0,,,,4842451.0,314700.0,1231544.0,0.025176,1.0864368014499635,4842451.0,314700.0,1231544.0,0.06498775103764602,0.2543224495198816,0.6077984547906145,0.4025356132298679,s16_pt8_sth2,0.021377,1.1777143659072835,0.9224960082855047,-7.750399171449529
bfs_imp3_s64_sth8_l1d_ddr4_1x,bfs,imp,stage3,s64_sth8,l1d,ddr4_1x,0.023068,23067887355.0,30729211.0,69272935.0,0.443597,5325134.0,11457869.0,2716274.0,6653938.0,6330939.0,465053.0,2911617.0,,,,0.02764,1.1981966360325993,6330939.0,465053.0,2911617.0,0.07345719173727626,0.459902867489325,0.4647578009488501,0.40822051543011073,s16_sth8,0.022635,1.2211177380163465,0.981229408704699,-1.877059129530101
bfs_imp3_s64_sth8_l2_ddr4_2x,bfs,imp,stage3,s64_sth8,l2,ddr4_2x,0.023188,23187754701.0,30729211.0,69632897.0,0.441304,6935590.0,11410464.0,1421298.0,3529247.0,,,,4845710.0,314207.0,1231091.0,0.025176,1.085734000345006,4845710.0,314207.0,1231091.0,0.06484230381099983,0.25405791927292387,0.6078271663623845,0.402719900307346,s16_pt8_sth2,0.021377,1.1777143659072835,0.9218992582370191,-7.810074176298087
bfs_imp3_s64_sth8_pt8_l1d_ddr4_2x,bfs,imp,stage3,s64_sth8_pt8,l1d,ddr4_2x,0.019671,19671380262.0,30729211.0,59073214.0,0.520189,5205845.0,11367670.0,2767225.0,6769711.0,6640238.0,482236.0,3024938.0,,,,0.025176,1.279853591581516,6640238.0,482236.0,3024938.0,0.07262330055037183,0.4555466234794596,0.4579518054271456,0.4087656031402227,s16_pt8_sth8,0.019608,1.2839657282741739,0.9967973158456611,-0.3202684154338886
bfs_imp3_s64_sth8_pt8_l2_ddr4_1x,bfs,imp,stage3,s64_sth8_pt8,l2,ddr4_1x,0.028232,28232451954.0,30729211.0,84782138.0,0.36245,7026474.0,11479817.0,1424262.0,3529154.0,,,,4720320.0,302046.0,1189485.0,0.02764,0.9790308869368093,4720320.0,302046.0,1189485.0,0.06398845840959935,0.2519924496644295,0.6120719520180504,0.40357037408965435,s16_pt8_sth8,0.025505,1.083709076651637,0.9034074808727685,-9.659251912723155
bfs_imp3_s64_sth8_pt8_l2_ddr4_2x,bfs,imp,stage3,s64_sth8_pt8,l2,ddr4_2x,0.02317,23169954852.0,30729211.0,69579444.0,0.441643,6935172.0,11408477.0,1420468.0,3529080.0,,,,4834807.0,314868.0,1230294.0,0.025176,1.0865774708675011,4834807.0,314868.0,1230294.0,0.06512524698503994,0.25446600040084333,0.6078963914289348,0.40250376868758997,s16_pt8_sth2,0.021377,1.1777143659072835,0.9226154510142426,-7.738454898575742
matmult_imp3_s32_dist32_addr16_l1d_ddr4_1x,matmult,imp,stage3,s32_dist32_addr16,l1d,ddr4_1x,0.001212,1212481638.0,7397876.0,3641086.0,2.03178,1150786.0,2138452.0,5475.0,1082498.0,31305.0,2993.0,4715.0,,,,0.001279,1.0552805280528053,31305.0,2993.0,4715.0,0.09560773039450567,0.1506149177447692,0.5381397384650205,0.005057746065119751,s16_dist8_addr16,0.001208,1.058774834437086,0.9966996699669968,-0.3300330033003229
matmult_imp3_s32_dist32_addr16_l2_ddr4_1x,matmult,imp,stage3,s32_dist32_addr16,l2,ddr4_1x,0.001205,1204672788.0,7397871.0,3617636.0,2.044949,1158165.0,2136806.0,1669.0,1076248.0,,,,5773.0,3771.0,23.0,0.001279,1.0614107883817427,5773.0,3771.0,23.0,0.65321323402044,0.00398406374501992,0.5420075570735013,0.0015507578179007068,s16_pt8_sth2,0.001221,1.0475020475020473,1.0132780082987554,1.3278008298755362
matmult_imp3_s32_dist32_addr16_l2_ddr4_2x,matmult,imp,stage3,s32_dist32_addr16,l2,ddr4_2x,0.001204,1203633495.0,7397876.0,3614515.0,2.046716,1159095.0,2138428.0,1618.0,1077370.0,,,,6106.0,3776.0,5.0,0.001298,1.0780730897009967,6106.0,3776.0,5.0,0.61840812315755,0.0008188666885031117,0.5420313426498343,0.0015018053222198501,s16_ipd16_addr16,0.001214,1.0691927512355848,1.0083056478405317,0.8305647840531671
matmult_imp3_s32_dist8_addr16_l1d_ddr4_1x,matmult,imp,stage3,s32_dist8_addr16,l1d,ddr4_1x,0.001212,1212481638.0,7397876.0,3641086.0,2.03178,1150786.0,2138452.0,5475.0,1082498.0,31305.0,2993.0,4715.0,,,,0.001279,1.0552805280528053,31305.0,2993.0,4715.0,0.09560773039450567,0.1506149177447692,0.5381397384650205,0.005057746065119751,s16_dist8_addr16,0.001208,1.058774834437086,0.9966996699669968,-0.3300330033003229
matmult_imp3_s32_dist8_addr16_l2_ddr4_2x,matmult,imp,stage3,s32_dist8_addr16,l2,ddr4_2x,0.001204,1203633495.0,7397876.0,3614515.0,2.046716,1159095.0,2138428.0,1618.0,1077370.0,,,,6106.0,3776.0,5.0,0.001298,1.0780730897009967,6106.0,3776.0,5.0,0.61840812315755,0.0008188666885031117,0.5420313426498343,0.0015018053222198501,s16_ipd16_addr16,0.001214,1.0691927512355848,1.0083056478405317,0.8305647840531671
matmult_imp3_s32_ipd16_addr16_l1d_ddr4_1x,matmult,imp,stage3,s32_ipd16_addr16,l1d,ddr4_1x,0.001212,1212481638.0,7397876.0,3641086.0,2.03178,1150786.0,2138452.0,5475.0,1082498.0,31305.0,2993.0,4715.0,,,,0.001279,1.0552805280528053,31305.0,2993.0,4715.0,0.09560773039450567,0.1506149177447692,0.5381397384650205,0.005057746065119751,s16_dist8_addr16,0.001208,1.058774834437086,0.9966996699669968,-0.3300330033003229
matmult_imp3_s32_ipd16_addr16_l2_ddr4_1x,matmult,imp,stage3,s32_ipd16_addr16,l2,ddr4_1x,0.001205,1204672788.0,7397871.0,3617636.0,2.044949,1158165.0,2136806.0,1669.0,1076248.0,,,,5773.0,3771.0,23.0,0.001279,1.0614107883817427,5773.0,3771.0,23.0,0.65321323402044,0.00398406374501992,0.5420075570735013,0.0015507578179007068,s16_pt8_sth2,0.001221,1.0475020475020473,1.0132780082987554,1.3278008298755362
matmult_imp3_s32_ipd16_addr16_l2_ddr4_2x,matmult,imp,stage3,s32_ipd16_addr16,l2,ddr4_2x,0.001204,1203633495.0,7397876.0,3614515.0,2.046716,1159095.0,2138428.0,1618.0,1077370.0,,,,6106.0,3776.0,5.0,0.001298,1.0780730897009967,6106.0,3776.0,5.0,0.61840812315755,0.0008188666885031117,0.5420313426498343,0.0015018053222198501,s16_ipd16_addr16,0.001214,1.0691927512355848,1.0083056478405317,0.8305647840531671
