run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,imp_default_simSeconds,stage1_best_config,stage1_best_simSeconds,stage1_best_speedup,speedup_vs_imp_default,speedup_vs_stage1_best,l1d_miss_rate,l2_miss_rate,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,pf_coverage_l1d
bfs_imp_stage2_cons_s8_sth8_pt8_ipd8_l1d_ddr4_1x,bfs,imp,cons_s8_sth8_pt8_ipd8,l1d,ddr4_1x,0.022835,22835118357.0,30729211.0,68573929.0,0.448118,5760410.0,11496519.0,2239185.0,6192751.0,5148645.0,403857.0,2476201.0,,,,0.023393,sdist16,0.022644,1.0330771948419006,1.0244361725421502,0.9916356470330633,0.5010568851319256,0.36158162987660897,5148645.0,403857.0,2476201.0,0.0784394729098627,0.4809422673344152,0.07010907209729864
bfs_imp_stage2_cons_s8_sth8_pt8_ipd8_l1d_ddr4_2x,bfs,imp,cons_s8_sth8_pt8_ipd8,l1d,ddr4_2x,0.020056,20055990267.0,30729211.0,60228199.0,0.510214,5624919.0,11405539.0,2289437.0,6255864.0,5222202.0,415265.0,2538349.0,,,,0.020727,sdist16,0.019617,1.0565835754702553,1.0334563222975668,0.9781112883925009,0.49317432521163623,0.36596655553893115,5222202.0,415265.0,2538349.0,0.07951913771240561,0.48606871201075713,0.07382595198259743
bfs_imp_stage2_cons_s8_sth8_pt8_ipd8_l2_ddr4_1x,bfs,imp,cons_s8_sth8_pt8_ipd8,l2,ddr4_1x,0.025611,25610779917.0,30729211.0,76909249.0,0.399552,6894638.0,11474629.0,1335196.0,3529043.0,,,,1573426.0,316042.0,627259.0,0.02562,sdist16,0.025506,1.0044695365796283,1.00035141150287,0.9959001991331851,0.6008593393302738,0.3783450640867793,1573426.0,316042.0,627259.0,0.20086232209204627,0.39865808751094745,0.04583880981133455
bfs_imp_stage2_cons_s8_sth8_pt8_ipd8_l2_ddr4_2x,bfs,imp,cons_s8_sth8_pt8_ipd8,l2,ddr4_2x,0.021719,21718628964.0,30729211.0,65221108.0,0.471155,6810118.0,11400971.0,1330714.0,3529327.0,,,,1619092.0,324746.0,651000.0,0.022034,sdist16,0.021395,1.02986679130638,1.0145034301763434,0.9850821861043327,0.5973278942644447,0.37704468868994,1619092.0,324746.0,651000.0,0.20057291370718897,0.4020772136481435,0.04768581102412616
bfs_imp_stage2_default_l1d_ddr4_1x,bfs,imp,default,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,4964319.0,312862.0,2227696.0,,,,0.023393,sdist16,0.022644,1.0330771948419006,1.0,0.9679818749198479,0.5361267570018077,0.3536526806180462,4964319.0,312862.0,2227696.0,0.06302213858537294,0.4487415091576508,0.05070987043505082
bfs_imp_stage2_default_l1d_ddr4_2x,bfs,imp,default,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,4956620.0,321255.0,2255403.0,,,,0.020727,sdist16,0.019617,1.0565835754702553,1.0,0.9464466637718918,0.5273950758131697,0.35644291124486277,4956620.0,321255.0,2255403.0,0.0648133203675085,0.455028426629437,0.053342208895963805
bfs_imp_stage2_default_l2_ddr4_1x,bfs,imp,default,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,,,,1243469.0,260786.0,458053.0,0.02562,sdist16,0.025506,1.0044695365796283,1.0,0.9955503512880562,0.6139606271708157,0.38288613150559003,1243469.0,260786.0,458053.0,0.2097245689277336,0.3683670441321818,0.03697269785460358
bfs_imp_stage2_default_l2_ddr4_2x,bfs,imp,default,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,,,,1255627.0,266135.0,462189.0,0.022034,sdist16,0.021395,1.02986679130638,1.0,0.9709993646183172,0.6080973703759588,0.38147110552087476,1255627.0,266135.0,462189.0,0.21195386846571473,0.36809418720686954,0.03837082827989229
bfs_imp_stage2_s16_dist32_addr16_l1d_ddr4_1x,bfs,imp,s16_dist32_addr16,l1d,ddr4_1x,0.022644,22644101898.0,30729211.0,68000306.0,0.451899,5499207.0,11471915.0,2389038.0,6325340.0,5223342.0,440614.0,2597004.0,,,,0.023393,sdist16,0.022644,1.0330771948419006,1.0330771948419006,1.0,0.4793625998797934,0.37769321491018665,5223342.0,440614.0,2597004.0,0.08435480579291955,0.49719202763288334,0.08012318867065743
bfs_imp_stage2_s16_dist32_addr16_l1d_ddr4_2x,bfs,imp,s16_dist32_addr16,l1d,ddr4_2x,0.019617,19617348015.0,30729211.0,58910955.0,0.521622,5371033.0,11380680.0,2448923.0,6419441.0,5351311.0,454753.0,2689456.0,,,,0.020727,sdist16,0.019617,1.0565835754702553,1.0565835754702553,1.0,0.4719430649135201,0.38148539724876357,5351311.0,454753.0,2689456.0,0.08497973674114624,0.5025789007590851,0.08466769800148315
