run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
simple_triad_nextline_deg32_l2_ddr4_1x,simple_triad,nextline,deg32,l2,ddr4_1x,0.003013,3013011639.0,3509923.0,9048084.0,0.387921,1943878.0,2003835.0,130436.0,375206.0,nan,nan,nan,3462984.0,244760.0,131.0
simple_triad_nextline_deg32_l2_ddr4_2x,simple_triad,nextline,deg32,l2,ddr4_2x,0.002099,2098729836.0,3510069.0,6302492.0,0.556936,1945219.0,2003878.0,129216.0,375043.0,nan,nan,nan,3821737.0,245817.0,187.0
simple_triad_nextline_deg4_l1d_ddr4_1x,simple_triad,nextline,deg4,l1d,ddr4_1x,0.002637,2636526168.0,3509906.0,7917497.0,0.443312,1931944.0,2003784.0,375529.0,375548.0,490421.0,9050.0,92.0,nan,nan,nan
simple_triad_nextline_deg4_l1d_ddr4_2x,simple_triad,nextline,deg4,l1d,ddr4_2x,0.001926,1926037368.0,3510145.0,5783896.0,0.606886,1775233.0,2003862.0,375536.0,375555.0,931097.0,39578.0,92.0,nan,nan,nan
simple_triad_nextline_deg4_l2_ddr4_1x,simple_triad,nextline,deg4,l2,ddr4_1x,0.002435,2435488407.0,3509939.0,7313779.0,0.47991,1973047.0,2003835.0,351403.0,375376.0,nan,nan,nan,1029970.0,23963.0,71.0
simple_triad_nextline_deg4_l2_ddr4_2x,simple_triad,nextline,deg4,l2,ddr4_2x,0.00177,1769639922.0,3510105.0,5314234.0,0.660513,1952139.0,2003926.0,320432.0,375378.0,nan,nan,nan,1225969.0,54936.0,70.0
simple_triad_nextline_deg8_l1d_ddr4_1x,simple_triad,nextline,deg8,l1d,ddr4_1x,0.002671,2670695631.0,3509911.0,8020108.0,0.437641,1889932.0,2003785.0,375660.0,375726.0,380814.0,16894.0,282.0,nan,nan,nan
simple_triad_nextline_deg8_l1d_ddr4_2x,simple_triad,nextline,deg8,l1d,ddr4_2x,0.001948,1948084965.0,3510087.0,5850105.0,0.600007,1748816.0,2003857.0,375664.0,375733.0,450118.0,44464.0,288.0,nan,nan,nan
simple_triad_nextline_deg8_l2_ddr4_1x,simple_triad,nextline,deg8,l2,ddr4_1x,0.002381,2381158458.0,3510062.0,7150626.0,0.490877,1968478.0,2003886.0,337389.0,375375.0,nan,nan,nan,526192.0,37976.0,138.0
simple_triad_nextline_deg8_l2_ddr4_2x,simple_triad,nextline,deg8,l2,ddr4_2x,0.001541,1541219904.0,3510083.0,4628288.0,0.758402,1962503.0,2003908.0,336557.0,375372.0,nan,nan,nan,574939.0,38805.0,138.0
spmv_nextline_deg16_l1d_ddr4_1x,spmv,nextline,deg16,l1d,ddr4_1x,0.006083,6083091486.0,11279581.0,18267542.0,0.618779,1922298.0,4825272.0,688456.0,4444713.0,3465356.0,166523.0,2693965.0,nan,nan,nan
spmv_nextline_deg16_l1d_ddr4_2x,spmv,nextline,deg16,l1d,ddr4_2x,0.00547,5470351173.0,11279576.0,16427481.0,0.688089,1924455.0,4825802.0,686163.0,4378819.0,3418090.0,167080.0,2628956.0,nan,nan,nan
spmv_nextline_deg16_l2_ddr4_1x,spmv,nextline,deg16,l2,ddr4_1x,0.008094,8094322575.0,11279800.0,24307275.0,0.465038,2233489.0,4828750.0,211576.0,1687286.0,nan,nan,nan,8975311.0,628415.0,376656.0
spmv_nextline_deg16_l2_ddr4_2x,spmv,nextline,deg16,l2,ddr4_2x,0.006653,6653146527.0,11279581.0,19979419.0,0.565761,2235367.0,4828623.0,209904.0,1687259.0,nan,nan,nan,9355447.0,638797.0,394143.0
spmv_nextline_deg1_l1d_ddr4_1x,spmv,nextline,deg1,l1d,ddr4_1x,0.007798,7797941253.0,11279581.0,23417241.0,0.482703,2860747.0,4827087.0,607299.0,3138486.0,2590012.0,77841.0,1409398.0,nan,nan,nan
spmv_nextline_deg1_l1d_ddr4_2x,spmv,nextline,deg1,l1d,ddr4_2x,0.007089,7088844060.0,11279576.0,21287820.0,0.530988,3017243.0,4827214.0,607519.0,3138580.0,2687721.0,74709.0,1409561.0,nan,nan,nan
spmv_nextline_deg1_l2_ddr4_1x,spmv,nextline,deg1,l2,ddr4_1x,0.008012,8011537776.0,11279795.0,24058672.0,0.469843,2718115.0,4827563.0,433674.0,1687025.0,nan,nan,nan,548239.0,123707.0,19279.0
spmv_nextline_deg1_l2_ddr4_2x,spmv,nextline,deg1,l2,ddr4_2x,0.007314,7313754591.0,11279581.0,21963227.0,0.514659,2831030.0,4827867.0,435829.0,1687002.0,nan,nan,nan,548282.0,121566.0,19291.0
